1,박현수,1,1,1
2,최명동,1,1,2
3,최수길,1,1,3
4,최동명,1,1,4
5,정현현,1,1,5
6,이동동,1,1,6
7,김현현,1,1,7
8,정현동,1,1,8
9,정수수,1,1,9
10,이재재,1,1,10
11,최진길,1,2,1
12,박진동,1,2,2
13,김동석,1,2,3
14,최재동,1,2,4
15,박수길,1,2,5
16,이석재,1,2,6
17,최재수,1,2,7
18,김길길,1,2,8
19,이현진,1,2,9
20,최수석,1,2,10
21,박석동,1,3,1
22,최수석,1,3,2
23,최길길,1,3,3
24,이재진,1,3,4
25,김길명,1,3,5
26,최수현,1,3,6
27,정수길,1,3,7
28,이재진,1,3,8
29,정현명,1,3,9
30,김길재,1,3,10
31,최명석,1,4,1
32,김명길,1,4,2
33,정수진,1,4,3
34,최길석,1,4,4
35,김재석,1,4,5
36,정진재,1,4,6
37,이현길,1,4,7
38,김수길,1,4,8
39,박진진,1,4,9
40,정명재,1,4,10
41,정석동,1,5,1
42,정길재,1,5,2
43,박재동,1,5,3
44,박재현,1,5,4
45,박재동,1,5,5
46,최재석,1,5,6
47,최명재,1,5,7
48,김재재,1,5,8
49,박석동,1,5,9
50,최재수,1,5,10
51,이수재,2,1,1
52,김동명,2,1,2
53,정길명,2,1,3
54,최진길,2,1,4
55,이동동,2,1,5
56,이길석,2,1,6
57,박현석,2,1,7
58,박석동,2,1,8
59,김석수,2,1,9
60,이석수,2,1,10
61,최재현,2,2,1
62,김명동,2,2,2
63,박진진,2,2,3
64,정현현,2,2,4
65,정수수,2,2,5
66,이현재,2,2,6
67,최재진,2,2,7
68,정수재,2,2,8
69,최현재,2,2,9
70,박현길,2,2,10
71,이명길,2,3,1
72,박현재,2,3,2
73,박명동,2,3,3
74,정동길,2,3,4
75,최동재,2,3,5
76,박재동,2,3,6
77,김명현,2,3,7
78,김명길,2,3,8
79,박명석,2,3,9
80,정석재,2,3,10
81,김명수,2,4,1
82,이명재,2,4,2
83,정명재,2,4,3
84,최현진,2,4,4
85,정현수,2,4,5
86,최현현,2,4,6
87,박수석,2,4,7
88,박현동,2,4,8
89,정현동,2,4,9
90,정길현,2,4,10
91,이동진,2,5,1
92,최석수,2,5,2
93,박수동,2,5,3
94,최현명,2,5,4
95,박명진,2,5,5
96,이길진,2,5,6
97,이명진,2,5,7
98,박진진,2,5,8
99,박길재,2,5,9
100,정재현,2,5,10
101,박현석,3,1,1
102,김수동,3,1,2
103,김진명,3,1,3
104,박석명,3,1,4
105,박진동,3,1,5
106,김명동,3,1,6
107,최길길,3,1,7
108,김재길,3,1,8
109,정진재,3,1,9
110,김동재,3,1,10
111,최진진,3,2,1
112,박재현,3,2,2
113,김현재,3,2,3
114,김길길,3,2,4
115,박명현,3,2,5
116,김명재,3,2,6
117,이수수,3,2,7
118,최수석,3,2,8
119,김길현,3,2,9
120,이현석,3,2,10
121,최진진,3,3,1
122,김명석,3,3,2
123,김길수,3,3,3
124,박진재,3,3,4
125,최진재,3,3,5
126,박재현,3,3,6
127,정석동,3,3,7
128,박재현,3,3,8
129,최현수,3,3,9
130,정명길,3,3,10
131,정석수,3,4,1
132,정수길,3,4,2
133,최동동,3,4,3
134,이재명,3,4,4
135,이수길,3,4,5
136,이현진,3,4,6
137,박동동,3,4,7
138,김동수,3,4,8
139,이명수,3,4,9
140,이수길,3,4,10
141,김길수,3,5,1
142,이수재,3,5,2
143,박동길,3,5,3
144,이재명,3,5,4
145,이명진,3,5,5
146,박석현,3,5,6
147,이길진,3,5,7
148,최진동,3,5,8
149,이석명,3,5,9
150,김재석,3,5,10
